新世界,2013,8.9,344366
喜宴,1993,8.9,307780
黑客帝国3：矩阵革命,2003,8.8,401584
模仿游戏,2014,8.7,557904
电锯惊魂,2004,8.7,467541
花样年华,2000,8.7,522853
三块广告牌,2017,8.7,738243
卢旺达饭店,2004,8.9,287555
头脑特工队,2015,8.8,534056
你的名字。,2016,8.5,1235891
疯狂原始人,2013,8.7,760596
上帝之城,2002,9.0,272948
达拉斯买家俱乐部,2013,8.8,402739
谍影重重3,2007,8.8,376912
风之谷,1984,8.9,324533
英雄本色,1986,8.6,469283
纵横四海,1991,8.8,370022
心迷宫,2014,8.7,451984
惊魂记,1960,9.0,240168
岁月神偷,2010,8.7,531032
九品芝麻官,1994,8.6,569394
记忆碎片,2000,8.7,544667
海街日记,2015,8.8,386570
忠犬八公物语,1987,9.2,171142
荒蛮故事,2014,8.8,391231
绿里奇迹,1999,8.9,280085
爆裂鼓手,2014,8.7,509856
爱在午夜降临前,2013,8.8,333595
贫民窟的百万富翁,2008,8.6,676616
真爱至上,2003,8.6,657678
小偷家族,2018,8.7,738813
东邪西毒,1994,8.6,521886
无敌破坏王,2012,8.7,475353
疯狂的石头,2006,8.5,724049
冰川时代,2002,8.6,551286
色，戒,2007,8.6,653128
黑天鹅,2010,8.6,723147
你看起来好像很好吃,2010,8.9,298340
恐怖游轮,2009,8.5,736233
雨中曲,1952,9.1,189295
雨人,1988,8.7,364821
恋恋笔记本,2004,8.6,592069
2001太空漫游,1968,8.9,272649
魔女宅急便,1989,8.7,406728
萤火虫之墓,1988,8.7,373348
城市之光,1931,9.3,124529
可可西里,2004,8.8,266484
遗愿清单,2007,8.7,379752
虎口脱险,1966,8.9,221646
大佛普拉斯,2017,8.7,383223
人工智能,2001,8.7,393871
初恋这件小事,2010,8.4,901448
源代码,2011,8.5,749655
牯岭街少年杀人事件,1991,8.9,244082
海边的曼彻斯特,2016,8.6,440190
无间道2,2003,8.7,396616
茶馆,1982(中国大陆),9.5,93370
罗生门,1950,8.8,276305
终结者2：审判日,1991,8.8,306891
二十二,2015,8.7,268542
东京教父,2003,9.0,178200
奇迹男孩,2017,8.6,504724
青蛇,1993,8.6,463812
房间,2015,8.8,339870
背靠背，脸对脸,1994,9.5,96233
新龙门客栈,1992,8.6,393707
疯狂的麦克斯4：狂暴之路,2015,8.6,467520
波西米亚狂想曲,2018,8.6,526963
小丑,2019,8.7,891776
无耻混蛋,2009,8.6,422676
魂断蓝桥,1940,8.8,247159
血钻,2006,8.7,333259
步履不停,2008,8.8,243927
黑客帝国2：重装上阵,2003,8.7,363124
彗星来的那一夜,2013,8.5,488541
千钧一发,1997,8.8,249402
战争之王,2005,8.7,321839
崖上的波妞,2008,8.6,419186
燃情岁月,1994,8.8,258834
谍影重重2,2004,8.7,316158
爱乐之城,2016,8.4,762191
海洋,2009,9.1,146715
阿飞正传,1990,8.5,448276
谍影重重,2002,8.6,379482
穿越时空的少女,2006,8.6,346071
再次出发之纽约遇见你,2013,8.6,382135
香水,2006,8.5,496225
地球上的星星,2007,8.9,184951
我爱你,2011,9.1,148171
完美陌生人,2016,8.5,480203
朗读者,2008,8.6,417999
火星救援,2015,8.5,630863
末路狂花,1991,8.8,201144
千年女优,2001,8.8,216439
聚焦,2015,8.8,248886
驴得水,2016,8.3,830070
小萝莉的猴神大叔,2015,8.4,443842
浪潮,2008,8.7,244870
